tweet,sentiment,highlight
Byehkoune ashkel ktir gharibe 3al kik,Negative,None
chabeb chi marra fakarto chou bi sir bas nmout? barke nzlna 3a jhannam,Negative,None
Chaklo 3eyich 3a gher kawkab hayda... ,Negative,Bullying
chaklo bi khawweff walaw?!!!,Negative,None
Chatrin tehko bl wirate bs ya sadi2e ra2is lhezeb bl kataeb byetsawat. Cheikh samy elo 25 sene bl kataeb w toli3 chwe chwe. Heyda hezeb t3azab ktir nhat bl freezer mnel 90 lal 2005 reji3 kamen nhat bl freezer la halla2. Eja jil jdid 3am yehke la masla7etna w ento jeyin t3etbo. ,Negative,Sectarianism
chi bi bakke el wade3,Negative,None
chi bi za3el!!! :(,Negative,None
Chou ? Kif ?,Negative,None
Chou ba3mil bi hayete(?) ,Negative,None
chou bi oulo la chakhess khoser ebno? :( #unfair #sadtruth #angel,Negative,None
Chou hal chi ?!!!!!! @hayda7akeh,Negative,None
Chou hatta khasseh 3a rasa,Negative,Bullying
Chou helo hal balad moukhayamet w sle7 w 3adeh :p ,Negative,Sarcasm
Chou kamm 3eres bel tankee?!!! :o ,Negative,Saying
Chou khass tozz bmarhaba? ,Negative,Saying
Chou lal chaba3 el infijaret ,Negative,None
Chou mahdoumeh😒 ,Negative,None
Chou ossit #mentos w tde3wos ejren w ri7it ni3o. Enno ma fi afkar de3ayet a7san? #mentos,Negative,None
Chou rah yaamloulna bel labs? Kif rah etkharraj ana eza ma aam nekhedon?,Negative,None
chou rah ysir fina ba3d kam chaher??? :O,Negative,None
Chou sarlak ? Habibi?,Negative,None
Chou wa3ene ana(?) ,Negative,None
chou wade3 l ghanam be jbeil????? ,Negative,None
Chou??? Ma fi bad things happening el layle?? ,Negative,None
chouuu???? kiff hekkk?,Negative,None
chta2tellik ya sette :( ... baaref ente ma3na kel yom,Negative,None
Chtaet odhar w rouh w eje enooo 3ish😩,Negative,None
Chu hal di3aye la beirut beer 3am fattich 3al refrain w 3a refrain y2echkun 2ach nchalla ,Negative,None
corona woslet 3a lebneeennnn kif rah nkaffe???,Negative,None
dahre 3m youja3ne :( had bbya3ref chou fine a3mel exercises?,Negative,None
dakhilik ana natra el apocalypse la ekhlas men hmoume ,Negative,Sarcasm
Dakhlak HezbAllah chou bte3tebera milichia aw chou? ,Negative,Sectarianism
darabou lal kaleb w hala2 akhadou lal kaleb aand el vet :(,Negative,None
Day3a w ana bi beirut ðŸ˜­ ,Negative,None
Deghre iza ken shi3e sar mentisib lal hezeb? Waw shu badkon fat khebez ba3ed..,Negative,Sectarianism
di3an kel lahza 3melet w dahhet kermlik... ms fi wafa bi hal hayet #girlfriendproblems,Negative,None
disappointed eno ktir 3ade ,Negative,None
donald trump? donald duck b zyede aa raebtak w ktir kamen,Negative,Bullying
E5te chou 5as lawena?,Negative,None
eemlin hal2et influencers l thawra w ma aazamoune b sifate akbar nekatjiye bel thawra? aayb w shame ,Negative,Sarcasm
Eh laeno l darak 3ana ktir awedim ,Negative,Sarcasm
Ehle ma b 5alloune nazzil l siyyara 3a beirut :( ,Negative,Known fact
ejit my boss liom aletle oss cha3re al ktir heke ... saraha nza3ajet :/,Negative,Bullying
ekher marra sar heke kenet rah aamel ta7teeeee so la2 ma bchil,Negative,None
el dollar sar bel 4000 chabeb allah y3inna la wen waslin.. allah ykoun ma3na kel lahza,Negative,None
el mechkle enno nahna 3arfin halna 3el2enin ben sinna w chi3a w mich rah ne2dar netla3 mennon ella bi ouwet allah. 3anjad chi bi za3el,Negative,None
el nes kella mlabbake w feyte bba3da.. w ana wahde menon 3etlene ham w khayfe men kel chi,Negative,None
el zaha2 bye2tol,Negative,None
Ele yawmen 3eyech 3al negro w 3asir ra7 8ib 3an l wa3e ,Negative,None
Eloun tlet se3at ben Dubai w Marmaris w ma na2o ! Walla lebnen ahla be ktir :/,Negative,None
Emme bedda tfajjer l bmw wel golf la2ano elman...khedelkon ba2a,Negative,None
Enno baddak ba3d 10 snin tenye!!!!??? Latgibo lkahraba??? Ya chabih lbani admin l3alam kello 3am bi2oul 3endkon hader belkahraba. Fachart ya harami wya 🐇🐇🐇🐇🐇 ,Negative,None
Eno le wazir al 3amal mabya3mil metel wazir al tarbeye !!?? Badna n3atil na7na kamen :( #storm #beirut #storm #beirut,Negative,None
Eza btekhde soura w mkhabeye wejjek bi telephonek w hada allek pretty 3am yedahak 3alayke... ,Negative,Sarcasm
Eza byokhsaro lyom ma ba3rif chou ba3moul ,Negative,None
Eza metet mn l sa23a tzakaro ene bhebkon,Negative,Joke
Fadahtoune shou bade a3mol b hale ,Negative,None
fahhachet men ba3d fahes el math!! what the hell chou ya3ne cosinus w sinusss,Negative,None
Fasharet 3a ra2btak w ra2bit m3almak w ra2bit li khalafouk ,Negative,None
fetet fiye siyara ana w rej3a 3a beit men beirut.. achat albe bas hasset bel darbe,Negative,None
feyte bi depression ma btefham,Negative,None
fhemna eno elsy el achkar rebheta lal siyara walla ,Negative,None
"Fi hada y2elle chou ela ta3me ossit l ""prom date"" ",Negative,None
Fi ktir wazawiz bel hamra ...,Negative,None
fi rehet bakhour ktir awiye.. what are my neighbors summoning ,Negative,Joke
fi rihet hari2 bel beit bas 3eref men wen jeye,Negative,None
Fiye efham ley dafir 2id lchmel bytwalo w dafir 2id lyamin bi dalloun 2sar Y3ne ktir jorsa hek yi haram ,Negative,None
guys.. confession.. taraket sahebte mberha,Negative,None
Habbet kif bye2tlo. #law #law,Negative,Sarcasm
habibti @nousraghaleb1 chou saierr ma3ekk :O,Negative,None
hada ghayre ma bi hebb hayeto?,Negative,None
hada metle ma byonboset bas ychouf ref2at elk madrase?,Negative,None
hada mich eder ynem metle? #insomnia jarrabet malyoun chaghle bas 3abas,Negative,None
Hahaha U should See Me 😂 Ka2abetttttttt ,Negative,None
hahaha! Yaret bass el helem el 3arabe ba3ed ahyan teh2i2o men hal chi ,Negative,Joke
Hahahhahaha albo melyen mennaaa ðŸ¤£ https://www.facebook.com/723616625/posts/10156414568561626/ ,Negative,Joke
Hala2 bedkon t2oulouleh eno mafi hada byel3ab call of duty online? Chu hal cha3b hayda? ,Negative,None
Halla2 toli3 bayye msaffar neswen 3al khalij?? lesh shou elo 3ale2a bel khalij? w ma zelik hal add bte7te2ri w ma bet 7ebbe nasso lesh kente tdallik mlazz2a bel maktab bi tyebik w manzarik el mou7taram natra yotla3lik 7ayalla dor? ste7e 3a dammik w 3a kabertik! ,Negative,None
haraaaammmm ktir zghir hal 3asfour,Negative,None
harab kalbeee!!! labrador brown esmo Max bi manta2et aarayya eza hada le2e dm please,Negative,None
haram ktir zghire kenett,Negative,None
hayda 3azeb ,Negative,None
hayda eli byefhamo fi lal asaf! ,Negative,None
Hayda ensen marid ,Negative,None
Hayda fehmen el snapchat ghalatðŸ˜.,Negative,Bullying
hayda laeano manik sexy metla w ente ghiyrane ,Negative,None
Hayda lGeo byeje 3a eco bel 3arabe . W es ðŸ˜© ,Negative,Foul language
Hayda ma biya3ref ye2ra w yektob w bedo waziren Wlooo kif la Ken iza Ken 3ando terminal ,Negative,None
Hayda mehen ya habibte,Negative,Bullying
Hayda mfakar Sayyid l masi7 mtl Sayyid 7asan ðŸ˜‚ðŸ˜‚ ,Negative,Sectarianism
Hayda minou le3ib haydi temssil thanx brazilðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž,Negative,None
Hayda tayaran aw shu ,Negative,None
Hayda twitter mich site porno habibe ok? Bs balke ma kente 3erfa eno kermelik ya3ne,Negative,None
Hayde awal erbeneee mish 3eress wala chi chill !!,Negative,None
Hayde me3de ha? Hayda kiss nailon!,Negative,Sarcasm
Hazze l beche3 I only go TR :(,Negative,None
Hek faj2a twitter bi arrir ma ya3mel tweet lal soura li beddeh nazzela shu haydaaa :( #ElissaEditorInChiefJamaloukiMag #ElissaEditorInChiefJamaloukiMag,Negative,None
Helo ktir ,Negative,None
Helo ktir eza finals aa respondus ana jeye tabshe aa wejje.. Chou bade aamol,Negative,Saying
Helo ktir na7esna ba3ed ðŸ˜° ,Negative,Sarcasm
Helo l hobb bess mch helo l habal ,Negative,Sarcasm
hlemet eno kenet 3am bou2a3 men el chebbek,Negative,None
hloff eno enta scientifique w bta3nel recherche hadret l neyeb li ma ba3ref esmak?! HAHAHHAHAHHAHA,Negative,Bullying
House logic be like : Hayda el cha5es chaklo merte7 bel nawme 5allina nbalich ndoj w neze3jo 7atta yfi2 ,Negative,Sarcasm
I m in love with the Coco Chou ma elak ta3me bel hayet anta,Negative,Bullying
I really feel like crying...jeboule chafra la chatteb w hek,Negative,None
jarrabet bas ma 2deret :(((,Negative,None
Je3et bas its not jou3 jou3 its stress jou3 fhemtoune??,Negative,None
Ka eno ma hada ghayra bemasel helo 🤣 ,Negative,Sarcasm
KarlSarkis lezim yet3alam l2e7tiram w le3eb bi rou7 riadye 3ayb 3anjad ktir ... Mesh heik byel3abo basket #ShameðŸ‘Ž @LBCISports @ghayathdibra #Shame,Negative,Bullying
kel ma elta2a bi chab helo 3a zaw2e bi koun chakle khara 3al ekher.. cest triste,Negative,Joke
kel ma fout 3a supermarket w y2arreb hada 3alaye bi de2 albe malyoun,Negative,None
Kello mlabbak ðŸ˜ ,Negative,None
kf bet dewo aleb maksour? se3do rfi2a mehteje RT,Negative,None
khserna match el football chabeb,Negative,None
Kif bet oulo la hada btari2a mhazabe eno sar hake ktir la daraje tawashne ,Negative,Sarcasm
Kif byaamlo fina hek el Drs wlo anjad rhamouna,Negative,None
kif fine edros ,Negative,None
kif wel qada2 menchara w kif yalli 3am b taleb bl mouhesabe houwe l fesed. ba3dein fi ktir ness bala chegel . chou bta3mol bte23od btetfarajjjjj ,Negative,None
"Kiff kell wahad sar ynazel soura la day3to ma3 ""my village last night"" w henne bel 10 snin byotla3o marra.",Negative,Sarcasm
kir z3elet mennik,Negative,None
kl yom aam bouaa cheyfe kabous w maf2ouse,Negative,None
kobe w bento ma byestehalo 3anjad z3let,Negative,None
ktiiir damma3et,Negative,None
KTIR ðŸ˜© ,Negative,None
Ktir 3am bekoul lol seeet ekil 7 wa23at lol now talabet berger ,Negative,None
ktir bade ghane bas kamen khayfe l kel yeghfa ,Negative,None
ktir be3tal hamm okhbos hada ana w sey2a 3al autostrade,Negative,None
Ktir beye5 l balad lama tkon l ter2at maftou7a bi shu iran a7san mena ,Negative,Sarcasm
Ktir bhb bass ybahdelne khaye ðŸ˜¹ðŸ˜¹ðŸ˜¹ðŸ˜¹,Negative,Sarcasm
ktir bhes ma hada ha yelkeshne iza hatayta shou awlik ,Negative,None
ktir bkit,Negative,None
Ktir bteje mezeej enta😁.,Negative,Sarcasm
ktir do3eeettttt chou mafroud a3mel? benzal walla bdal bel beit? :/,Negative,None
Ktir habile ente ,Negative,Bullying
Ktir helo ! Sar fi shooting Monday kamen ! #ilooklikeazombie #needtosleep #ilooklikeazombie #needtosleep,Negative,None
Ktir jou3 ,Negative,None
Ktir ketranin l sha7adin hal fatra,Negative,None
Ktir khayfe chouf 3alemte,Negative,None
ktir khayfe es2ott maths #secondefinals,Negative,None
Ktir mdaperse liom  ma32oul la2n rje3t aal jemaa ?ðŸ˜«ðŸ˜« ,Negative,None
ktir mehtar iza bhot aw la2 aashan men zaman bade jeeb Dzeko shirt ,Negative,None
ktir sara333!! Kel el wa2et ide 3a albe,Negative,None
ktir z3elet 3anjaddd,Negative,None
Ktir zaha2,Negative,Known fact
Ktir zaha2 w ktir shob.,Negative,None
Ktir zaha2 wlo,Negative,None
L liste shwe ktir mesh zabta ,Negative,None
L liste shwe ktir mesh zabta ,Negative,None
La abdon not his job to steal people’s properties and make it his not even for the government. W ana sarah bebke bas emshe b shawere3 beirut. He completely changed the city’s identity and history. Hay ba3ed ma fetna b meliyit el dawle li nahaba. Alla yghane2lo. ,Negative,None
La kel lebneniyeh li 3am bi admo brevet w terminal 2014 . . hazkoun chou helo yaret 3a wa2teh heik ken fi suspence kenit hejet lsa2ta b2ideh,Negative,Joke
La la laa ya hollandiee chou 3am ta3emloo layleee,Negative,None
La walllaaaaaaaaaaaaa aktar shwayyyy ,Negative,None
La ytamnouk enno fi ghala bl da2 ,Negative,Sarcasm
La2 msh ana! ,Negative,None
La2 tawele belakkk marwan tizeeeee min ken seme3 fikkk law ma a3melak l helwe😡😡😡😡😡😡😡 ,Negative,None
La2 wloo ASOT600 ken bi beirut w ba3don bel nrj music tour? :| ,Negative,None
lah lah lahhh chou sayirrr bi souria,Negative,None
lahza 3anjad fakarto houwe zeto ðŸ¤£ ,Negative,None
lahza! hal soura bi lebnen!! ya fakarta barra bi afri2ia aw chi! la wen waslinn ya ta3tire,Negative,None
Lakk hel 3ana lal mara :p ,Negative,None
Lea ktir pedophile 😂 ,Negative,Bullying
Leano ente no nice aa halikðŸ¥º ,Negative,None
Lech l 3alam ktir ferhane eno brad pitt w angelina jolie tjawazo ?? #ma_ykouno_emik_w_bayik_hbb ðŸ™Š #ma_ykouno_emik_w_bayik_hbb,Negative,Joke
Leh we3e hal2ad bakir w bas ykun 3ande sheghel bet3azab ktir ,Negative,Joke
Lek fi LU bl soura it says enno mndal nendob 7azzna ,Negative,None
lezem emme tomdile fahess el svt w jeybe 7/20 :/,Negative,None
Li b de2 l beb b le2e l jaweb. Ma assar fike. ,Negative,Saying
Li helo b beitchabeb ano fi 16 knise bas li ahla bkouno noson fadyin w 3al a3yed bte3jo2 ,Negative,Sarcasm
lil asaf baaed fi nes leh2a za3ima,Negative,None
lil asaf mich rah netghyar bi souhoule,Negative,None
liom bel madrasse 3 achkhass aloule enne nas7a w lezem enteher,Negative,Bullying
Lk badi a3ref li 7eko 3a set najwa la2na 7ata salib ra7o 7esabo w rej3o w tol3o mn ahel l jani lk feye a3ref chou hayda takhalof allah wa7ad ,Negative,Sectarianism
Lk lyom chft chi chaben ktir hlwin w knt lbse clown w 3achiye chft aktr mn 3 chabeb hlwinnn w knt lebse chabbb B2tulll haleee?!ðŸ™„ ,Negative,None
Lyom da2it rfi2it 3mte w ma b3rfa w dalit thkine chi 1h w blchit 3rft habe t3mle nursing bs lyke ya joya balelik hal chghle fkre b3den eno bdk trabe wledk w ta3ab w fkre bchi ektisad w t2amne masare w ykun helo Bro ana b3rfk chi? Merci 3al nasi7a bs ma hdn talab r2yik w merci :) ,Negative,None
Ma 3am befham ma ken lwade3 mni7 chou li fawa3o heikkk,Negative,None
ma 3nde wala soura zabta ma3 ekhte..,Negative,None
Ma assart ma mbayne aslan chou hiye ,Negative,None
Ma ba3ref ento chou 3am yousallkon bass ana wala shi ,Negative,None
ma badde os2otttt,Negative,None
ma bede erja3 fout bi 3ale2a w en2aza aktar yemkin..,Negative,None
ma betsawar fi hada hazzo beche3 adde.. mich rah etghayar bi hayete,Negative,None
ma betzakkar chi helo men toufoulte,Negative,None
ma bheb hayete hek,Negative,None
Ma bsaddi2 eno rehet 3a mc donalds w aloule ma ba2a 3endon akel;/,Negative,None
Ma bymshe l hal jem3a w hek ta2s b nafs l waet lol ,Negative,None
Ma ele jlede ,Negative,None
Ma fi ktir hawa ðŸ™„ ,Negative,None
Ma fi ryeha,Negative,None
ma habbet kif kholsit el season :( #you,Negative,None
Ma hada bi hemmo ,Negative,None
ma hada rah ye2dar yradine men hal a3al w el aher li ana fi,Negative,None
ma ken bedde tedhar hyye bhal episode kenit btestehal terba7 :(,Negative,None
ma na2oule projeyte lal exposition... chtaghalet leil nhar 3ale,Negative,None
ma tezaalo bas hada ghayre mesh eder yesmaa sot ariana ba2a? besmaa sawta aktar men sot emme w emme ktir bet ne2 ,Negative,Sarcasm
ma tezaalo bas hada ghayre mesh eder yesmaa sot ariana ba2a? besmaa sawta aktar men sot emme w emme ktir bet ne2 ,Negative,Sarcasm
Ma tonbosto ktir halla2 metel l 3ade mnenhebil ekhir chi. ,Negative,None
ma twa2a3et hek chi menno! disappointed.,Negative,None
Ma2oule ba3dna bala houkoume 3an jad chou ktir so3be,Negative,None
Ma3ke alef? 3tine alef Ya habibe law ma3e alef ma kenet benzal happy hour,Negative,Sarcasm
Ma3ke ha2 ana ma3ke bs ala cheikh samy 3aylti pierre ba3don wled badon yet3alamo w yekbaro bs 3aylit cheikh bachir 3aleyon hene yekhdo ll arar w sad2ine fi ktir 3alam by2bado mtl general aoun ma3ash jesh w ma3ash ra2is jumhuriye gher ma3ash ex neyib ,Negative,Sectarianism
MABEDDI EDROSS BADI THAWRA ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜« ,Negative,None
Madroub Hayda ! Shaklo nese Ino eja Min rahem lady ! ,Negative,None
Mammiiii hara2et ide,Negative,None
Man2oushe jebne be 100000LL #HelloHyperinflation #HelloHyperinflation,Negative,Sarcasm
mane edra ethammal za3al w aher aktar men hek,Negative,None
mar3oube men el carnet,Negative,None
marra jc al byel3ab l 3atwe eddeme w la halla2 ba3edne ma tkhattet ,Negative,None
math w englize tmrw helo kteerðŸ‘ŒðŸ˜­ ,Negative,Sarcasm
mawjou3a baadne so saabe edhar liom :/,Negative,None
May 3ishuwa ktir madrid fans 2ino hine ze3lenin w maba3rf shu la2an fal di maria. bas utd fans elon ha2 la2an ronaldo is the worlds best,Negative,None
Me: *jumps off the chair* Woah shou hayda? dabbour? Cousin: wlk lah. hayda sarsour. bi tir. mn 3ashiye. Me: *drives back to Beirut* ,Negative,Joke
Men wen toli3 haydaðŸ˜­,Negative,None
Mertadde ,Negative,None
Mesh r7 2et3allam ma ta2il akel abl ma nem Batenjen me7sheðŸ˜,Negative,Joke
meto kel el pupies :(,Negative,None
metradede eza benzal entekheb aw rah ya3rfo eno ma ntakhabton.. barke ezyoune,Negative,None
Mich 3am tozbat ma3i. . . . Eh w chou mna3melak?,Negative,Joke
mich edra enhaz men el takhet men el sa23a,Negative,None
mich edra etnaffas 3al panic! any tips ya helwin?,Negative,None
Mich eno w3it lse3a 6 wbel 3ade bou3a lse3a 7 40 helo hek eh? coffee w osas lsebeh. LA2 ,Negative,Sarcasm
mich hatta chi btemme ele yawmen,Negative,None
mich ma3rouf kif rah ykoun el toslih....,Negative,None
mich rah lahhe2 khaless ya allahhhh,Negative,None
Migraine ana chou 3emletlik tab?,Negative,Joke
Mouto kelkon,Negative,None
Mrab7eenek jmeele 3al $2000 yalle baddek tedfa3eehon lal course ,Negative,None
Msh 3m la7e2 jowa w barra ðŸ™„ðŸ˜‚ðŸ˜‚ðŸ˜‚ ,Negative,Joke
Msh masmouh ade fi sa23a,Negative,None
My sleeping schedule kezbe aktar men Marwan Habib ,Negative,None
my uncle is lowkey aawne w ktir aabele natfo ,Negative,None
na2alna el jara 3al machfa... ba3d ma 3refna chou sar ma3a . bas a3ref bkhaberkon :s,Negative,None
Nahna aalam w hene aalam bro? ,Negative,None
nchallah yemche el hal.. 3m salle la ma ysir chi yefkos el khabrie kella,Negative,None
nes yali 3m t2eli ntebhi 3m yeser2u ktir hal fatra bheb elkon enu eza hada akhad jezdeni ha yredeli yeh shafa2a 3layi w y3tini masari ma3o ,Negative,Joke
Nobody said enu henee mush gheltaneeen ana akidd akidd doodd hyda shi bas kamen huwe maken lezm ydal we2eff w yba3edd w kholsit ,Negative,None
Nshala t2t3 3a kheir ,Negative,Saying
Nshalla te7teri2 ,Negative,None
Nzelet Riyad solh today w ktir assbet no way elle aam besir no wayyyyyy ,Negative,None
Ok ktir ma ele jlede nemchou el 3amal? ,Negative,None
ok maybe ktir 3am khaffe2 bas eno 3al alile jarrabet.. Semhoune,Negative,None
Omg ðŸ¤¦ðŸ»â€â™€ï¸ li 3al autostradre ,Negative,None
omg chou sar be ghadir,Negative,None
omg chou sayerrr,Negative,None
omg please ma bsaddi2 fi nes ma3e bl grp 3am ta3mil psychology ,Negative,Bullying
Oth byaamele depression w b khaline ekoul ktir,Negative,None
Ouaa tohdar you ana ma to2to ktir 3assabne,Negative,None
"Person: ""Khatik ktir helo mabyechbahik"" me: thx person: lek la2 azde over ne3im w ente ktir hyperactive . Euhh chou ekhdine fekra aan el hyperactive mafhemet? ðŸ˜‚ðŸ˜‚ ",Negative,Joke
Plz hada yeb2a yna2ila tyeba la @nadine njeim...mch masmou7 #MBCTheVoice #MBCTheVoice,Negative,None
Plzzz @nabil_ajram tamina 3la nancy kteeer msh8ol balna 3leeha ðŸ˜’ðŸ˜­ðŸ˜‚ nancy sart a7san hl2 ??? ,Negative,None
quarantine mch nafsell chi la kell el 3ial :(,Negative,None
Rawwahna kell l regim b akel l ahad #everytime #everytime,Negative,Joke
Sa23a aw ana bene shi ! ðŸ˜•,Negative,None
Sa2ta men awal yom.. Helo ,Negative,Sarcasm
Sa2ta men awal yom.. Helo ,Negative,Sarcasm
Sar 2was be adonis ! Helo action bel hay ,Negative,Sarcasm
sar enfijar bi iran!!!,Negative,None
Sar fi corona aana bel chere3 alla yestor!,Negative,None
Sar ma3e b Antoura,Negative,None
sara5et ,Negative,None
saraha kel hayetna rah tetghayar men wara el corona chi ma bi tammenn :/,Negative,None
saraha mahada bieb2a bi hayete khlas ma bede jareb ba2a,Negative,None
sarle sene bjarreb et3allam guitar w mch aam tezbat .. khalas ma ba2 rah jarreb :/,Negative,None
Saro marten bou3a maf2ouseee !! @Charbelonsky,Negative,None
Se3a 3 ma ba3refak...3anjad 3am tehkune fb chat ? ,Negative,Sarcasm
Seret khabsa chakhsen lyom,Negative,None
Sha3re ka2anno 7ada mkahrabne ,Negative,Joke
Shaklo metel balotelli hayda hahaha,Negative,None
Shou lezim a3mol bi daynte el chmel eza ktir aam besma3 da2et albe? Hessa fi shi bi alba w ma aam yotla3 ,Negative,None
Shu hal hmar hayda ,Negative,Bullying
shu hayawanet ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ ,Negative,Foul language
Shu hayda il AUB ma fi nafas jowwa :P l3amma hrabet :P ,Negative,None
Shu sar fi hayda w leh bento hek ,Negative,None
Sma3et sot bel beit mich mestarjeye odhar men louda,Negative,None
Sociologic w physic w maths w helo hal sabah :) ,Negative,Sarcasm
Soukleen kenit 3am tekhid milliard zyede chu 3am thke milliard bta3ml ktir. Tol3it lriha msh mn wara soukleen bs mn wara wen 3am bi kebo lzbelee bs em lcha3eb eno 3am bi mouto mnel riha bl costa brava w bl ne3me ,Negative,None
tab 3anjad haLa2 ma hassin wade3 l balad zbele w rayheen aa mahal ktir majhool cause kellu ale3ib? ,Negative,None
tabb okk fhemet eno m hada habebne mn zamen w je,Negative,None
tale3le habbe 3a sandihte w ele chaher 3m ba3mel daily routine,Negative,None
tamnounii 3ala nancy! akhadoula jawza? hiyi sarla chi? w wleda kif,Negative,None
tarakna ana wyyeh,Negative,None
Tb leh l guys li b saffe ktir wled ,Negative,Sexism
Tb walla sa23a ,Negative,Known fact
Teb ktir sa23aðŸ˜°ðŸ˜° ,Negative,Known fact
Teb leh sa23a ? ,Negative,None
Teb ma mammiiii bede bouzaaaa,Negative,None
The two goals ma keno goals so ma tombosto ktir❤️.,Negative,None
tkhena2na ana w my best friend,Negative,None
Tkheyalo se3ten w nos men beirut la sour ,Negative,None
Tkheyalo yeje boukra principe de detergence ya3ne hayda li na2is,Negative,Sarcasm
tlo3et bel booster mnih ma 3melet sakte albie,Negative,None
tole3 ma bi hebne...,Negative,None
Tomorrow first day of uni w ma 2ile jlede :p chou l3amal,Negative,None
twaffet jaretna men se3ten,Negative,None
Ughhh teb. ,Negative,None
URGENT shab 3am yenzof bel m3ounet bi jbeil w bado A- daroure ... esmo Nader Matta w hayda ra2em bayo 71375399 el shab wahid  please help,Negative,Known fact
W ahla chi eno semeater break bas eno l ta2es mech ate3 ,Negative,None
W ana ble2e tissue musta3male ,Negative,Sarcasm
W ba3den law chou ma ken ll arar tfaddalo khabbrouna min ba3ed rah yedrous men ba3d kell hal tshweshour @EliasBouSaab,Negative,None
W ela 3en tehke 😂 ,Negative,Sarcasm
w3it m2akhra ktirr..,Negative,None
Wa2afna el dares wel gym lal thawra. Tlo3na noss7anin wel exam kal 7oukam is still standing strong in 1 week. Ekel Khara af. ,Negative,None
Wa2ef habal 5haye pls W 7ata wle men jam3tna ywa2fo habal 3a ja3ja3 w jonblat mbe5htlef bel eshya el s8her mnetjme3 bel eshya el kbere enta me2tne3 eno el harriri sara2 ? Keef lakan 5heser hal 2ad masare ? ,Negative,Sectarianism
WALAW KHATAF BENTA! Hal mousalsal ktir bi zaail!,Negative,None
Waylon li oummaten la tarfa3ou sawtaha ella fi janaza wala taftakhirou ella bel kharab - Gebran Khalil Gebran. ,Negative,Saying
what the hell chou 3ed sar ma3kon? jabbarte ejrik ? w elsa kif saret?,Negative,None
Whyyy bhebb hl2d l akel whyy,Negative,None
WLE SHOU HAYDA WLE YNWA YNWAYNWAYNWA YA3NE MA BYETRABBO WLED EL HARAM KHALS,Negative,None
Wliii hayda twitter msh insta,Negative,None
Woah kenet nkhabaset... le ma meshe asra3 w khabasneðŸ˜³ðŸ˜¡ ,Negative,Sarcasm
Wosleeeeeeeeeeet Tekno Seyeseye M2asame Sene She3e Mase7e Yaaane ka2ano ma sar thawra ,Negative,None
Wtf chou khas erdogan bl mouzaharaðŸ˜³ ,Negative,Foul language
Wtf chou sar?,Negative,None
Ya 3adra chou hayda!!!!! ,Negative,None
ya 3adraa kif bado ye2ta3 hal semester??? ktir stress kel el wa2et :(,Negative,None
Ya aame anjad baarf eno sawte mez3ej w mesh helo w metl lm3zeye bas ana ray7 aal hafle la enbost w sare5 w 8ani ma3a mesh ta 23od  khalass tsay7osh aalye ,Negative,None
Ya deli 3alikon be hal sa23a allah y2wikon ,Negative,None
ya delliii chou sayer barraaaa,Negative,None
Ya harammðŸ˜‚ðŸ˜‚ ,Negative,None
Ya ilahi shu hayda,Negative,None
Ya la2eeemee ,Negative,None
Ya reit ya isteiz sabah mazeil bihimak baladak we zi3lein 3a wleid baladak trakiz chouway ktir 3ala moumasilin baladak...ma tiz3al minni hadortak m2asar ktir ma3 el chabeib bi libnein...libnein mich bas baneit hilwi ta tou2af 7ad moumasil souri... ,Negative,None
Ya3ne habakit ma3e ekoul popcorn mahrou2 halla2 w kassir snene ,Negative,None
Yalla rge3na balachna men awal w jdid! #Beirut #Ashrafieh rip #AshrafiehAndVictims #Beirut #Ashrafieh #AshrafiehAndVictims,Negative,None
yareet hyete metlik @valerieabouchacra kenet b3ich b alf kheir. mich metel haallaa bmout w biich la ekol leema,Negative,None
You know enno kel el saf sa2it lamma el estez ktir fe23a ma3o ,Negative,Joke
yu2brnee jamelo pepe :p tfeh shu beche3 bas li kanze por la decima ma7leto ,Negative,None
z3elet.,Negative,None
- baby shou belbous lyom 3al sahra? - pantalon - bss shob ktir - tannoura - betbayyene nasha - pantalon - ma bestahkim or2ous - tanoura,Neutral,Joke
- ya3ne ya l ma3ash deghre byokhlas ya ana ktir bosrouf *mom's reply* what about both? - 😒,Neutral,None
-Mama 3m tehdare hayda hakeh ? -eh  mahdum samer saadeh  bs law ma manno kateb -Oookk mama  good night ,Neutral,None
"“@geagea14: ""@JoeGhanem_: @Mouawad11 min ahla benet mbaynee bel p m?☆"" hahahaha ma chef chaklo joe mnih l manna bl madrase^^” ktiiir helo!! ",Neutral,None
“@jado_saleh: @maram_ps @butterfly_hiba jiji 2al ma btnda2 hal song ma 7da by2dar yde2a :))” chifto lech mich live :),Neutral,None
“@LesleyNasr1: “@NayAttieh: shou fi shi aham mnel akel bhal hayet? mashi””,Neutral,None
“@Opl611: @LeilaSayssa @andreachaanine @Michel_acra nops”lek hzar chou al ? ,Neutral,None
@__Nata20 @najwakaram hayda el interview li ma3 imad hawari 3a arabica lama kenit bi mahrajen dbayye,Neutral,None
@_Edyyyyy @BilalBeainy le chou be l gym?,Neutral,None
@_elsakh eh hayda Ralph ,Neutral,None
